Country,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Cyprus,Europe,622102,70056.137,3854,434.007,3854,1242,139.864,5,0.563,5
San Marino,Europe,22406,66020.39,50,147.327,0,119,350.639,0,0,0
Austria,Europe,5600568,62920.208,33534,376.741,5140,21257,238.814,26,0.292,0
Andorra,Europe,47446,61406.847,227,293.794,0,158,204.491,1,1.294,0
Slovenia,Europe,1273067,60741.958,11504,548.891,1780,8615,411.048,11,0.525,0
Gibraltar,Europe,20207,59977.442,0,0,0,110,326.497,0,0,0
Martinique,Americas,224468,59815.863,0,0,0,1071,285.398,0,0,0
Brunei Darussalam,Western Pacific,261440,59760.583,0,0,0,144,32.916,0,0,0
Jersey,Europe,63595,58995.696,432,400.757,7,142,131.73,0,0,0
Denmark,Europe,3363615,57766.648,8709,149.568,3459,7573,130.059,36,0.618,16
France,Europe,37252086,57276.219,415354,638.619,71597,155898,239.698,491,0.755,62
Iceland,Europe,207504,56985.615,103,28.286,0,229,62.889,5,1.373,0
Saint Pierre and Miquelon,Americas,3274,56496.98,24,414.15,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1923,55211.025,0,0,0,0,0,0,0,0
Israel,Europe,4735327,54708.62,10903,125.966,1621,11906,137.554,19,0.22,0
Liechtenstein,Europe,21064,54362.918,98,252.923,0,86,221.953,0,0,0
Saint Barthélemy,Americas,5348,54102.175,0,0,0,5,50.582,0,0,0
Réunion,Africa,482906,53937.175,1366,152.573,1366,905,101.082,2,0.223,2
Republic of Korea,Western Pacific,27611555,53856.044,402755,785.569,62734,30975,60.416,354,0.69,67
Portugal,Europe,5536455,53773.348,0,0,0,25345,246.166,0,0,0
Guernsey,Europe,33080,51312.279,180,279.208,0,66,102.376,1,1.551,0
Seychelles,Africa,50068,50909.535,0,0,0,171,173.874,0,0,0
Greece,Europe,5448700,50834.23,43748,408.152,0,34482,321.704,154,1.437,0
Latvia,Europe,967729,50728.19,2770,145.203,456,6108,320.18,6,0.315,1
Switzerland,Europe,4335518,50094.851,10315,119.185,0,13759,158.979,12,0.139,0
Guadeloupe,Americas,197918,49464.166,0,0,0,995,248.673,0,0,0
Luxembourg,Europe,308572,49284.149,1281,204.597,298,1168,186.549,3,0.479,0
Netherlands,Europe,8547416,49101.676,3580,20.566,0,22927,131.707,10,0.057,0
Cayman Islands,Americas,31359,47716.068,0,0,0,36,54.778,0,0,0
Bonaire,Americas,9650,46139.135,37,176.907,0,31,148.219,0,0,0
Estonia,Europe,609827,45886.984,295,22.198,0,2799,210.613,9,0.677,0
Lithuania,Europe,1280029,45812.018,2939,105.186,434,9442,337.928,6,0.215,0
Georgia,Europe,1807654,45313.981,464,11.631,0,16888,423.346,0,0,0
Montenegro,Europe,283971,45213.848,228,36.302,37,2790,444.224,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Germany,Europe,36726061,44159.569,183272,220.367,24633,158851,191.003,108,0.13,9
Czechia,Europe,4566217,42699.112,6075,56.808,986,41949,392.269,45,0.421,3
Nauru,Western Pacific,4621,42652.76,0,0,0,1,9.23,0,0,0
Australia,Western Pacific,10717637,42030.14,0,0,0,15361,60.239,0,0,0
Italy,Europe,24488080,41058.801,0,0,0,181733,304.709,0,0,0
Bahrain,Eastern Mediterranean,696614,40939.365,163,9.579,0,1536,90.269,0,0,0
Aruba,Americas,43693,40924.077,52,48.705,0,280,262.256,44,41.212,0
New Zealand,Western Pacific,1950776,40453.79,31859,660.669,0,2235,46.348,23,0.477,0
Belgium,Europe,4648042,40339.043,6711,58.243,9,33100,287.266,31,0.269,2
Monaco,Europe,15674,39939.863,165,420.446,0,65,165.63,0,0,0
Sint Eustatius,Americas,1210,38547.308,4,127.429,0,5,159.286,0,0,0
Saba,Americas,736,38075.53,0,0,0,2,103.466,0,0,0
Singapore,Western Pacific,2177701,37223.482,8500,145.291,1363,1707,29.178,4,0.068,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Barbados,Americas,104416,36334.406,0,0,0,567,197.303,0,0,0
Puerto Rico,Americas,1022766,35750.386,12073,422.007,2053,5423,189.559,47,1.643,10
Saint Helena,Africa,2166,35677.813,0,0,0,0,0,0,0,0
The United Kingdom,Europe,24053576,35432.305,24454,36.022,2721,197723,291.257,161,0.237,0
Serbia,Europe,2428291,35056.943,4243,61.256,692,17426,251.577,34,0.491,6
Maldives,South-East Asia,185632,34341.7,14,2.59,0,311,57.535,0,0,0
Slovakia,Europe,1856981,34023.895,773,14.163,128,20752,380.221,15,0.275,2
Ireland,Europe,1682409,33889.2,1250,25.179,0,8231,165.799,34,0.685,0
Palau,Western Pacific,5896,32588.99,0,0,0,7,38.691,0,0,0
French Guiana,Americas,96389,32271.446,0,0,0,411,137.605,0,0,0
Saint Martin,Americas,12058,31190.667,0,0,0,46,118.989,0,0,0
Croatia,Europe,1256073,30951.748,1990,49.037,430,17379,428.248,49,1.207,8
Wallis and Futuna,Western Pacific,3415,30366.352,0,0,0,7,62.244,0,0,0
Mongolia,Western Pacific,993997,30320.594,625,19.065,0,2135,65.125,0,0,0
Bermuda,Americas,18519,29738.41,56,89.927,0,152,244.087,1,1.606,0
United States of America,Americas,98072469,29628.907,454077,137.182,454077,1074367,324.58,3122,0.943,3122
Guam,Western Pacific,49577,29374.611,0,0,0,409,242.334,0,0,0
Spain,Europe,13614807,28764.114,19303,40.782,0,116108,245.302,11,0.023,0
Uruguay,Americas,995402,28655.134,1527,43.959,0,7541,217.087,4,0.115,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0
Curaçao,Americas,45630,27807.402,44,26.814,0,297,180.995,2,1.219,0
French Polynesia,Western Pacific,77557,27609.395,282,100.389,0,649,231.036,0,0,0
Norway,Europe,1470431,27394.673,1040,19.376,101,4498,83.799,51,0.95,0
New Caledonia,Western Pacific,77263,27062.536,1076,376.885,0,314,109.983,0,0,0
Marshall Islands,Western Pacific,15541,26254.35,0,0,0,17,28.719,0,0,0
Anguilla,Americas,3904,26023.197,38,253.3,0,12,79.989,0,0,0
Chile,Americas,4949655,25892.462,24604,128.708,4230,62659,327.78,175,0.915,54
Finland,Europe,1417909,25662.155,6537,118.31,8,7572,137.043,5,0.09,0
Sweden,Europe,2640369,25566.17,8277,80.145,1755,21234,205.605,41,0.397,0
Sint Maarten,Americas,10954,25544.518,0,0,0,89,207.546,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Tuvalu,Western Pacific,2779,23566.825,0,0,0,0,0,0,0,0
Panama,Americas,1009252,23390.649,7091,164.343,0,8533,197.763,7,0.162,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13171,22883.403,0,0,0,40,69.496,0,0,0
United States Virgin Islands,Americas,23608,22607.613,88,84.271,34,125,119.703,1,0.958,0
Costa Rica,Americas,1148914,22553.737,0,0,0,9046,177.577,0,0,0
Malta,Europe,115941,22531.891,90,17.491,8,809,157.22,0,0,0
Hungary,Europe,2171056,22222.736,4704,48.15,0,48337,494.773,50,0.512,0
Mauritius,Africa,281163,22108.042,0,0,0,1036,81.461,0,0,0
Dominica,Americas,15760,21891.625,0,0,0,74,102.791,0,0,0
Argentina,Americas,9739856,21550.369,12609,27.899,0,130034,287.713,9,0.02,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Japan,Western Pacific,25687798,20310.339,666503,526.978,0,51062,40.373,1049,0.829,0
Türkiye,Europe,16919638,20061.448,0,0,0,101203,119.995,0,0,0
Micronesia (Federated States of),Western Pacific,22036,19157.908,0,0,0,58,50.425,0,0,0
Bulgaria,Europe,1288586,18536.853,1177,16.932,186,38056,547.452,12,0.173,2
Lebanon,Eastern Mediterranean,1220831,17886.467,229,3.355,0,10740,157.352,3,0.044,0
Grenada,Americas,19636,17450.655,5,4.444,0,237,210.624,0,0,0
Belize,Americas,69117,17382.327,69,17.353,0,688,173.026,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Romania,Europe,3298738,17066.406,1904,9.851,0,67289,348.127,13,0.067,0
Poland,Europe,6356979,16747.342,3129,8.243,250,118371,311.846,39,0.103,6
Qatar,Eastern Mediterranean,482499,16747.314,3165,109.856,0,685,23.776,0,0,0
Brazil,Americas,35497781,16700.169,231622,108.968,45682,690577,324.887,776,0.365,168
Turks and Caicos Islands,Americas,6446,16648.587,0,0,0,36,92.98,0,0,0
North Macedonia,Europe,345067,16562.845,195,9.36,0,9591,460.358,0,0,0
Saint Lucia,Americas,29723,16186.617,12,6.535,0,409,222.734,1,0.545,0
Kuwait,Eastern Mediterranean,662747,15518.932,0,0,0,2570,60.179,0,0,0
Malaysia,Western Pacific,5006855,15469.49,12312,38.04,1616,36742,113.52,47,0.145,4
Mayotte,Africa,41853,15341.165,174,63.779,174,187,68.545,0,0,0
